漢字,読み,例文
旱魃,かんばつ,地震や（旱魃）のような天災、突然外から襲ってくる敵
杞憂,きゆう,逆に、温暖化はまったくの（杞憂）なのかもしれない。
乖離,かいり,学問的な認識と実践的な決定との間には、決して埋められることのない（乖離）がある。
隠蔽,いんぺい,知と倫理的・政治的決定との間にある溝を、（隠蔽）しえないものとして露呈させざるをえない。
露呈,ろてい,知と倫理的・政治的決定との間にある溝を、隠蔽しえないものとして（露呈）させざるをえない。
懸隔,けんかく,リスクをめぐる科学的な知の蓄積は、見解の間の分散や（懸隔）を拡張していく傾向がある。
漸近,ぜんきん,未だ真理ではないにせよ――真理へと（漸近）しているのではないかとの確信をもつことができる。
相殺,そうさい,人は、互いに（相殺）しあうような分裂した感覚をもたざるをえない。
脅威,きょうい,たとえば自然災害の（脅威）――それは伝統社会においてより大きかったはずである――は、リスクではないのか？
再帰,さいき,その規範への反省的・（再帰）的な態度が浸透し、常態化している。
枯渇,こかつ,たとえば、石油等の化石燃料の（枯渇）はリスクだが、
中庸,ちゅうよう,アリストテレスが述べたことは、美徳は（中庸）の内にある、ということだった。
示唆,しさ,確率論が（示唆）する選択肢は、両者の中間を採って、中途半端に石油の使用量を減らすことだが
帰結,きけつ,それらは、自らの選択の（帰結）とは認識されていないからである。
規範,きはん,社会秩序を律する（規範）やその環境が、人間の選択の産物であるとの自覚が確立した後でなければ、
危惧,きぐ,予想され、（危惧）されているリスクは、しばしば、きわめて大きく、破壊的な結果をもたらす。
飛躍,ひやく,前者から後者への移行には、原理的に基礎づけられない（飛躍）がある。
終焉,しゅうえん,「人間の（終焉）」にまで至る破局に連なるのか、いかなる科学的な予想も確定的ではない。
便益,べんえき,人間の生殖系列の遺伝子への操作が、大きな（便益）をもたらすのか、
蓄積,ちくせき,知見の（蓄積）と科学者の間の十分な討論を経れば、見解の相違の幅は少しずつ小さくなり、
準拠,じゅんきょ,このように、リスクそれ自体が自己（準拠）的にもたらされるのである。
態勢,たいせい,さらに、こうした（態勢）は、民主主義的な決定の基盤を切り崩すことになる。
把握,はあく,リスク risk と危険 danger との相違を（把握）しておかなくてはならない。
浸透,しんとう,その規範への反省的・再帰的な態度が（浸透）し、常態化している。
常態,じょうたい,その規範への反省的・再帰的な態度が浸透し、（常態）化している。
不断,ふだん,規範を「変えることができる/変えるべきである」との自覚を前提にして、規範が（不断）にモニタリングされ、
顕著,けんちょ,リスク社会のリスクには、二つの（顕著）な特徴がある。
所産,しょさん,人間の選択の（所産）であることが自覚されている段階に登場する。
与件,よけん,システムにとって（与件）と見なされるべき条件が極小化してきた段階の社会である。
極小,きょくしょう,システムにとって与件と見なされるべき条件が（極小）化してきた段階の社会である。
抑制,よくせい,二酸化炭素の排出量を下げる――石油の使用を（抑制）する――べきかどうか、が問題だとしよう。
近似,きんじ,多数派が支持する意見こそ、正義や真理を最も（近似）しているに違いない、と。
自明,じめい,科学に関して、長い間、当然のごとく（自明）視されてきたある想定が、リスク社会では成り立たないからだ。
命題,めいだい,科学的な（命題）は、「真理」そのものではない。
相違,そうい,リスク risk と危険 danger との（相違）を把握しておかなくてはならない。
